"shape_id","shape_pt_lat","shape_pt_sequence"
"4__9_A___1__IT_1","40.3981264262139","20000036"
"4__9_A___1__IT_1","40.3981547837832","20000103"
"4__9_A___1__IT_1","40.3981932609506","20000104"
"4__9_A___1__IT_1","40.3982480235988","20000105"
"4__9_A___1__IT_1","40.3982958033887","20000106"
"4__9_A___1__IT_1","40.3983442967673","20000107"
"4__9_A___1__IT_1","40.3983934115875","20000108"
"4__9_A___1__IT_1","40.398434827312","20000109"
"4__9_A___1__IT_1","40.3984767802643","20000110"
"4__9_A___1__IT_1","40.3985190872275","20000111"
"4__9_A___1__IT_1","40.3985962711643","20000112"
"4__9_A___1__IT_1","40.3986395551072","20000113"
"4__9_A___1__IT_1","40.3986650359097","20000035"
"4__9_A___1__IT_1","40.3987355037501","20000114"
"4__9_A___1__IT_1","40.3987477380307","20000034"
"4__9_A___1__IT_1","40.3988059613832","20000115"
"4__9_A___1__IT_1","40.3988233682445","20000033"
"4__9_A___1__IT_1","40.3988414557604","20000116"
"4__9_A___1__IT_1","40.3988770394877","20000117"
"4__9_A___1__IT_1","40.3988919202997","20000032"
"4__9_A___1__IT_1","40.3989229328027","20000031"
"4__9_A___1__IT_1","40.3989472055751","20000118"
"4__9_A___1__IT_1","40.3989635603559","20000030"
"4__9_A___1__IT_1","40.3990132571264","20000029"
"4__9_A___1__IT_1","40.399079824674","20000028"
"4__9_A___1__IT_1","40.3991301670988","20000027"
"4__9_A___1__IT_1","40.3991498296713","20000119"
"4__9_A___1__IT_1","40.3991875874492","20000026"
"4__9_A___1__IT_1","40.3992343024108","20000025"
"4__9_A___1__IT_1","40.39928746308","20000024"
"4__9_A___1__IT_1","40.3993090083053","20000120"
"4__9_A___1__IT_1","40.3993263915752","20000023"
"4__9_A___1__IT_1","40.3993568708147","20000022"
"4__9_A___1__IT_1","40.3993873385307","20000021"
"4__9_A___1__IT_1","40.3994094622735","20000020"
"4__9_A___1__IT_1","40.3994391754973","20000019"
"4__9_A___1__IT_1","40.399461443446","20000018"
"4__9_A___1__IT_1","40.399477744311","20000121"
"4__9_A___1__IT_1","40.3994860787853","20000017"
"4__9_A___1__IT_1","40.399515630977","20000016"
"4__9_A___1__IT_1","40.3995192413446","20000015"
"4__9_A___1__IT_1","40.3995676694776","20000122"
"4__9_A___1__IT_1","40.3995681285274","20000014"
"4__9_A___1__IT_1","40.3996244665031","20000013"
"4__9_A___1__IT_1","40.3996795370763","20000012"
"4__9_A___1__IT_1","40.3997409943274","20000011"
"4__9_A___1__IT_1","40.3999330783214","20000010"
"4__9_A___1__IT_1","40.3999725992115","20000009"
"4__9_A___1__IT_1","40.4000113502168","20000008"
"4__9_A___1__IT_1","40.4000211170293","20000123"
"4__9_A___1__IT_1","40.4000211170293","21000001"
"4__9_A___1__IT_1","40.4000481815463","20000007"
"4__9_A___1__IT_1","40.40009199553","20000006"
"4__9_A___1__IT_1","40.4001402528829","20000005"
"4__9_A___1__IT_1","40.4001899513112","20000004"
"4__9_A___1__IT_1","40.4002634394176","20000003"
"4__9_A___1__IT_1","40.4004169489128","20000002"
"4__9_A___1__IT_1","40.4004324322346","21000002"
"4__9_A___1__IT_1","40.4005050274","21000003"
"4__9_A___1__IT_1","40.4005791426291","21000004"
"4__9_A___1__IT_1","40.4006032952033","19000077"
"4__9_A___1__IT_1","40.4006032952033","20000001"
"4__9_A___1__IT_1","40.4006683440018","21000005"
"4__9_A___1__IT_1","40.4008647552317","19000076"
"4__9_A___1__IT_1","40.4009109971993","19000075"
"4__9_A___1__IT_1","40.4009146554053","21000006"
"4__9_A___1__IT_1","40.400947104133","19000074"
"4__9_A___1__IT_1","40.4009718963969","19000073"
"4__9_A___1__IT_1","40.4009975884303","19000072"
"4__9_A___1__IT_1","40.4010240052556","19000071"
"4__9_A___1__IT_1","40.4010790949111","19000070"
"4__9_A___1__IT_1","40.4011068774451","21000007"
"4__9_A___1__IT_1","40.401122243115","19000069"
"4__9_A___1__IT_1","40.4011368983756","19000068"
"4__9_A___1__IT_1","40.4011667522302","19000067"
"4__9_A___1__IT_1","40.4012128904402","19000066"
"4__9_A___1__IT_1","40.401260474589","19000065"
"4__9_A___1__IT_1","40.4012931319545","19000064"
"4__9_A___1__IT_1","40.4013606172856","19000063"
"4__9_A___1__IT_1","40.4013607532435","21000008"
"4__9_A___1__IT_1","40.4014295487792","19000062"
"4__9_A___1__IT_1","40.4015189604599","19000061"
"4__9_A___1__IT_1","40.4015801318219","23000054"
"4__9_A___1__IT_1","40.4015885781609","19000060"
"4__9_A___1__IT_1","40.4015912099472","23000053"
"4__9_A___1__IT_1","40.4016703939736","23000052"
"4__9_A___1__IT_1","40.4017157474175","23000051"
"4__9_A___1__IT_1","40.4017483307267","19000059"
"4__9_A___1__IT_1","40.401760462947","23000050"
"4__9_A___1__IT_1","40.4018183083047","23000049"
"4__9_A___1__IT_1","40.4018553476846","19000058"
"4__9_A___1__IT_1","40.4018761438537","23000048"
"4__9_A___1__IT_1","40.4018912616745","19000057"
"4__9_A___1__IT_1","40.4019287856367","23000047"
"4__9_A___1__IT_1","40.4019462637952","19000056"
"4__9_A___1__IT_1","40.4019934232318","23000046"
"4__9_A___1__IT_1","40.4020027170573","19000055"
"4__9_A___1__IT_1","40.4020605284125","19000054"
"4__9_A___1__IT_1","40.4020618477339","23000045"
"4__9_A___1__IT_1","40.4021110533029","23000044"
"4__9_A___1__IT_1","40.4021203289012","19000053"
"4__9_A___1__IT_1","40.4021612249129","19000052"
"4__9_A___1__IT_1","40.4022028430221","19000051"
"4__9_A___1__IT_1","40.402220996423","21000009"
"4__9_A___1__IT_1","40.4022665425017","19000050"
"4__9_A___1__IT_1","40.4023317817321","19000049"
"4__9_A___1__IT_1","40.4023348402375","21000010"
"4__9_A___1__IT_1","40.4023762121525","19000048"
