"stop_id","stop_desc","stop_lat","stop_lon","location_type","wheelchair_boarding"
"acc_4_132_346","Avda de Niza 59","40.43256","-3.6079","2","0"
"acc_4_132_802","Avda de Niza 59","40.4326","-3.60747","2","0"
"acc_4_133_347","Calle de Pobladura del Valle 4","40.42749","-3.61617","2","0"
"acc_4_133_348","Calle de Pobladura del Valle 27","40.42789","-3.61568","2","0"
"acc_4_134_349","Calle de Alberique 4","40.42765","-3.62274","2","0"
"acc_4_134_350","Calle del Castillo de Uclés 11","40.42786","-3.62581","2","0"
"acc_4_134_351","Calle de Zaratán 2","40.42842","-3.62564","2","0"
"acc_4_135_352","Calle de Luis del Campo SN","40.42917","-3.63203","2","0"
"acc_4_135_353","Calle de José Arcones Gil 106","40.42821","-3.63419","2","0"
"acc_4_136_354","Calle de Ascao 29","40.43017","-3.64115","2","0"
"acc_4_138_355","Calle de Martínez Villergas 1","40.43921","-3.65173","2","0"
"acc_4_138_356","Plaza de la Virgen del Romero 1","40.43855","-3.65164","2","0"
"acc_4_139_357","Avda de Bruselas 57","40.43945","-3.66307","2","0"
"acc_4_139_358","Avda de Bruselas 56","40.43945","-3.66288","2","0"
"acc_4_13_44","Plaza de Tirso de Molina 14","40.41239","-3.70505","2","0"
"acc_4_13_45","Plaza de Tirso de Molina 20","40.41245","-3.70373","2","0"
"acc_4_140_359","Avda de América 32","40.43906","-3.67203","2","0"
"acc_4_140_360","Avda de América 37","40.43945","-3.67219","2","0"
"acc_4_142_361","Calle de Miguel Ángel 33","40.43792","-3.69138","2","0"
"acc_4_142_362","Calle de José Abascal 65","40.43823","-3.69141","2","0"
"acc_4_142_363","Calle de José Abascal 58","40.43797","-3.69167","2","0"
"acc_4_143_364","Calle de José Abascal 26","40.43828","-3.69819","2","0"
"acc_4_143_365","Calle de José Abascal 20","40.43831","-3.69888","2","0"
"acc_4_143_366","Calle de José Abascal 20","40.4383","-3.6992","2","0"
"acc_4_145_367","Calle de Cea Bermúdez 64","40.43922","-3.71497","2","0"
"acc_4_145_368","Calle de Cea Bermúdez 55","40.439","-3.71498","2","0"
"acc_4_145_369","Calle de Cea Bermúdez 51","40.43898","-3.71426","2","0"
"acc_4_145_370","Calle de Cea Bermúdez 50","40.43915","-3.71306","2","0"
"acc_4_145_371","Calle de Cea Bermúdez 43","40.43897","-3.71302","2","0"
"acc_4_147_372","Calle de Moguer 1","40.45663","-3.7124","2","0"
"acc_4_147_373","Calle de Alejandro Rodríguez 39","40.45631","-3.71193","2","0"
"acc_4_147_374","Avda de Pablo Iglesias 93","40.45717","-3.71187","2","0"
"acc_4_147_375","Avda de Pablo Iglesias 96","40.45714","-3.71162","2","0"
"acc_4_147_376","Avda de Pablo Iglesias 92","40.45655","-3.71195","2","0"
"acc_4_148_377","Calle de San Restituto 72","40.46513","-3.71675","2","0"
"acc_4_148_378","Calle de San Restituto 72","40.46499","-3.71658","2","0"
