"stop_id","stop_name"
"acc_4_46_137","Ronda de Valencia"
"acc_4_46_789","Ascensor"
"acc_4_47_790","Ascensor"
"acc_4_47_791","Argumosa"
"acc_4_49_139","Centro Comercial"
"acc_4_49_140","Plaza de Callao"
"acc_4_49_141","Cine Avenida"
"acc_4_49_142","Palacio de la Prensa"
"acc_4_49_792","Jacometrezo"
"acc_4_49_793","Ascensor"
"acc_4_49_794","Ascensor"
"acc_4_4_10","Juan de Olías"
"acc_4_4_11","Manuel Luna"
"acc_4_4_12","Fulgencio de Miguel"
"acc_4_4_9","Navarra"
"acc_4_50_143","Leganitos"
"acc_4_50_144","Coliseum"
"acc_4_50_145","Plaza de España"
"acc_4_50_146","Reyes"
"acc_4_50_147","Princesa"
"acc_4_50_148","Ascensor"
"acc_4_50_149","Ascensor"
"acc_4_50_795","Ascensor"
"acc_4_51_150","Princesa impares"
"acc_4_51_618","Princesa pares"
"acc_4_51_796","Ascensor"
"acc_4_52_151","Princesa"
"acc_4_52_152","Alberto Aguilera"
"acc_4_52_153","Altamirano"
"acc_4_52_154","Guzmán el Bueno"
"acc_4_52_797","Ascensor"
"acc_4_53_155","Acceso Intercambiador Ejercito del Aire"
"acc_4_53_156","Princesa"
"acc_4_53_157","Ascensor exterior intercambiador"
"acc_4_53_579","Edificio de acceso intercambiador"
"acc_4_53_798","Arcipreste de Hita"
"acc_4_53_807","Intercambiador E. del Aire"
"acc_4_57_160","Santa Bárbara"
"acc_4_57_161","Génova pares"
"acc_4_57_162","Santa Engracia"
"acc_4_57_163","Hermanos Álvarez Quintero"
"acc_4_58_164","Génova impares"
"acc_4_58_165","Génova pares"
"acc_4_59_167","Serrano"
"acc_4_59_168","Goya pares"
"acc_4_59_169","Goya impares"
"acc_4_59_170","Goya pares"
"acc_4_5_13","Bravo Murillo impares"
"acc_4_5_14","Bravo Murillo pares"
"acc_4_60_171","Goya impares"
"acc_4_60_172","Goya pares"
"acc_4_60_173","Goya impares"
"acc_4_60_174","Goya pares"
"acc_4_62_175","Conde de Peñalver"
"acc_4_62_176","Conde de Peñalver"
"acc_4_63_177","Diego de León"
"acc_4_63_178","Francisco Silvela impares"
"acc_4_63_179","Francisco Silvela pares"
"acc_4_63_180","Francisco Silvela pares"
"acc_4_63_234","Juan Bravo - Conde Peñalver"
"acc_4_63_235","Juan Bravo - Alcántara"
"acc_4_63_236","Francisco Silvela pares"
"acc_4_63_237","Francisco Silvela pares"
"acc_4_63_238","Alcántara"
"acc_4_64_181","Avda. América impares"
"acc_4_64_182","Avda. América pares"
"acc_4_64_184","Ascensor exterior intercambiador"
"acc_4_64_185","Pedro Valdivia"
"acc_4_65_186","Plaza Prosperidad"
"acc_4_66_187","Clara del Rey"
"acc_4_67_188","Ramón y Cajal pares"
"acc_4_67_189","Avenida de la Paz"
"acc_4_67_190","Ramón y Cajal impares"
"acc_4_68_191","Ulises"
"acc_4_68_192","Arturo Soria"
"acc_4_68_193","José Silva impares"
"acc_4_68_194","Ulises impares"
"acc_4_69_195","Andorra"
"acc_4_6_15","Reina Victoria impares"
"acc_4_6_16","Santa Engracia"
"acc_4_6_17","Reina Victoria pares"
"acc_4_6_18","Bravo Murillo"
"acc_4_6_19","Maudes"
"acc_4_6_615","Ascensor exterior"
"acc_4_70_196","Avda. Machupichu impares"
"acc_4_70_197","Ramón Power"
"acc_4_70_198","Montalbos"
"acc_4_70_199","Mota del Cuervo"
"acc_4_70_200","Ascensor"
"acc_4_71_201","Arequipa"
"acc_4_71_202","Gta. Mar de Cristal"
"acc_4_71_203","Mar Adriático"
"acc_4_71_204","Ascensor"
"acc_4_72_205","Avda. Barranquilla impares"
"acc_4_72_206","Avda. Barranquilla pares"
"acc_4_72_207","Ascensor"
"acc_4_73_208","Santa Virgilia"
"acc_4_73_209","Los Arcos"
"acc_4_73_210","Ascensor"
"acc_4_74_1037","Alcalá - Josefa Valcárcel"
"acc_4_74_211","Alcalá impares"
"acc_4_74_212","Alcalá pares"
"acc_4_75_213","Alcalá impares"
"acc_4_75_214","Alcalá pares"
"acc_4_76_215","Alcalá pares"
"acc_4_76_216","Alcalá impares"
