"interaction","gene","title","cosmid"
"","http://bio2rdf.org/wormbase:WBGene00165138","WBGene00165138 (21ur-15309)","Y41E3.221"
"","http://bio2rdf.org/wormbase:WBGene00165139","WBGene00165139 (21ur-14007)","Y57G11B.99"
"","http://bio2rdf.org/wormbase:WBGene00165140","WBGene00165140 (21ur-13810)","H35B03.8"
"","http://bio2rdf.org/wormbase:WBGene00165141","WBGene00165141 (21ur-15469)","C47A4.73"
"","http://bio2rdf.org/wormbase:WBGene00165142","WBGene00165142 (21ur-12723)","Y105C5B.620"
"","http://bio2rdf.org/wormbase:WBGene00165143","WBGene00165143 (21ur-10734)","F26D12.29"
"","http://bio2rdf.org/wormbase:WBGene00165144","WBGene00165144 (21ur-6139)","B0273.40"
"","http://bio2rdf.org/wormbase:WBGene00165146","WBGene00165146 (21ur-7805)","Y105C5B.621"
"","http://bio2rdf.org/wormbase:WBGene00165147","WBGene00165147 (21ur-7541)","C05B10.3"
"","http://bio2rdf.org/wormbase:WBGene00165148","WBGene00165148 (21ur-14066)","F57F5.6"
"","http://bio2rdf.org/wormbase:WBGene00165149","WBGene00165149 (21ur-7918)","Y67A10A.149"
"","http://bio2rdf.org/wormbase:WBGene00165150","WBGene00165150 (21ur-11855)","M199.71"
"","http://bio2rdf.org/wormbase:WBGene00165151","WBGene00165151 (21ur-11959)","Y7A9D.26"
"","http://bio2rdf.org/wormbase:WBGene00165152","WBGene00165152 (21ur-11831)","Y73F8A.514"
"","http://bio2rdf.org/wormbase:WBGene00165153","WBGene00165153 (21ur-7474)","C52D10.59"
"","http://bio2rdf.org/wormbase:WBGene00165154","WBGene00165154 (21ur-10467)","Y116A8B.36"
"","http://bio2rdf.org/wormbase:WBGene00165155","WBGene00165155 (21ur-7853)","Y105C5B.622"
"","http://bio2rdf.org/wormbase:WBGene00165156","WBGene00165156 (21ur-10787)","Y73F8A.515"
"","http://bio2rdf.org/wormbase:WBGene00165157","WBGene00165157 (21ur-8479)","Y73F8A.516"
"","http://bio2rdf.org/wormbase:WBGene00165158","WBGene00165158 (21ur-13225)","B0273.41"
"","http://bio2rdf.org/wormbase:WBGene00165159","WBGene00165159 (21ur-10840)","Y105C5A.522"
"","http://bio2rdf.org/wormbase:WBGene00165160","WBGene00165160 (21ur-12458)","Y57G11C.507"
"","http://bio2rdf.org/wormbase:WBGene00165161","WBGene00165161 (21ur-6421)","Y41E3.222"
"","http://bio2rdf.org/wormbase:WBGene00165162","WBGene00165162 (21ur-5944)","Y67A10A.150"
