"stop_id","stop_name","location_type","parent_station"
"acc_4_23_78","Ascensor","2","est_4_23"
"acc_4_24_79","Rafael Alberti - Ambulatorio","2","est_4_24"
"acc_4_24_80","Albufera pares","2","est_4_24"
"acc_4_24_81","Aparcamiento","2","est_4_24"
"acc_4_24_82","Ascensor","2","est_4_24"
"acc_4_252_623","Corbeta","2","est_4_252"
"acc_4_252_624","Ascensor","2","est_4_252"
"acc_4_253_625","Velero","2","est_4_253"
"acc_4_253_626","Ascensor","2","est_4_253"
"acc_4_253_627","Pinos de Osuna","2","est_4_253"
"acc_4_254_628","Avda. Los Poblados impares","2","est_4_254"
"acc_4_254_629","Avda. Los Poblados pares","2","est_4_254"
"acc_4_254_630","Ascensor","2","est_4_254"
"acc_4_255_631","Avda. Carabanchel Alto","2","est_4_255"
"acc_4_255_632","Ascensor","2","est_4_255"
"acc_4_256_633","Avda. La Peseta","2","est_4_256"
"acc_4_256_634","Ascensor","2","est_4_256"
"acc_4_257_635","Fuente de Lima","2","est_4_257"
"acc_4_257_636","Ascensor","2","est_4_257"
"acc_4_258_637","Gran Vía de Hortaleza","2","est_4_258"
"acc_4_258_638","Ascensor","2","est_4_258"
"acc_4_259_639","Bronce","2","est_4_259"
"acc_4_25_577","Acceso Glorieta RENFE","2","est_4_25"
"acc_4_25_83","Avenida de la Democracia","2","est_4_25"
"acc_4_25_84","Correspondencia RENFE","2","est_4_25"
"acc_4_25_85","Ascensor exterior RENFE","2","est_4_25"
"acc_4_25_86","Avda. de la Democracia - Arboleda","2","est_4_25"
"acc_4_260_640","Avda. Marqués de Corbera","2","est_4_260"
"acc_4_260_641","Ascensor","2","est_4_260"
"acc_4_261_474","Chamartín","2","est_90_25"
"acc_4_261_642","Ascensor","2","est_90_25"
"acc_4_262_643","Bambú","2","est_4_262"
"acc_4_262_644","Ascensor","2","est_4_262"
"acc_4_263_645","Arturo Soria","2","est_4_263"
"acc_4_263_646","Ascensor","2","est_4_263"
"acc_4_264_647","Capitán Cortés","2","est_4_264"
"acc_4_264_648","Costa del Sol","2","est_4_264"
"acc_4_265_649","Vélez Rubio","2","est_4_265"
"acc_4_265_650","Ascensor","2","est_4_265"
"acc_4_267_651","Avda. Córdoba impares","2","est_4_267"
"acc_4_267_652","Avda. Córdoba pares","2","est_4_267"
"acc_4_267_653","Ascensor","2","est_4_267"
"acc_4_268_654","Glorieta de Málaga","2","est_4_268"
"acc_4_268_655","Ascensor","2","est_4_268"
"acc_4_269_656","Avda. Perla","2","est_4_269"
"acc_4_269_657","Avda. Andalucia pares","2","est_4_269"
"acc_4_269_658","Ascensor","2","est_4_269"
"acc_4_26_87","Pº Federico García Lorca","2","est_4_26"
"acc_4_26_88","Sierra Vieja","2","est_4_26"
"acc_4_26_89","Ascensor","2","est_4_26"
"acc_4_270_659","Tertulia","2","est_4_270"
"acc_4_270_660","Paseo Gigantes y Cabezudos","2","est_4_270"
"acc_4_270_661","Ascensor","2","est_4_270"
"acc_4_271_662","Santiago Amón","2","est_4_271"
"acc_4_271_663","Santa Petronila","2","est_4_271"
"acc_4_271_664","Ascensor","2","est_4_271"
"acc_4_272_665","Moncada","2","est_4_272"
"acc_4_272_666","Avda. Andalucía pares","2","est_4_272"
"acc_4_272_667","Ascensor","2","est_4_272"
"acc_4_273_668","Valle de Tobalina","2","est_4_273"
"acc_4_273_670","Ascensor","2","est_4_273"
"acc_4_274_693","Retablo de Melisendra","2","est_4_274"
"acc_4_275_691","Avda. Monasterio de Silos","2","est_4_275"
"acc_4_275_692","Ascensor","2","est_4_275"
"acc_4_276_689","Palas de Rey","2","est_4_276"
"acc_4_276_690","Ascensor","2","est_4_276"
"acc_4_277_687","Maestro Mateo","2","est_4_277"
"acc_4_277_688","Ascensor","2","est_4_277"
"acc_4_278_685","La Granja","2","est_4_278"
"acc_4_278_686","Ascensor","2","est_4_278"
"acc_4_279_683","Avda. Bruselas","2","est_4_279"
"acc_4_279_684","Ascensor","2","est_4_279"
"acc_4_27_90","Congosto","2","est_4_27"
"acc_4_27_91","Plaza de Congosto","2","est_4_27"
"acc_4_27_92","Ascensor","2","est_4_27"
"acc_4_280_680","Marqués de la Valdavia","2","est_4_280"
"acc_4_280_681","Ascensor","2","est_4_280"
"acc_4_281_678","Manuel de Falla","2","est_4_281"
"acc_4_281_679","Ascensor","2","est_4_281"
"acc_4_282_676","Avda. Lomas del Rey","2","est_4_282"
"acc_4_282_677","Ascensor","2","est_4_282"
"acc_4_283_674","Avda. Plaza de Toros","2","est_4_283"
"acc_4_283_675","Ascensor","2","est_4_283"
"acc_4_284_671","Poeta Rafael Morales","2","est_4_284"
"acc_4_284_672","Hospital Infanta Sofía","2","est_4_284"
"acc_4_284_673","Ascensor","2","est_4_284"
"acc_4_285_694","Terminal T4","2","est_90_33"
"acc_4_286_710","Estadio Metropolitano","2","est_4_286"
"acc_4_286_711","Estocolmo","2","est_4_286"
